side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase,L_toe,L_heel,R_toe,R_heel
R,condition_1_onset,5681307.0,-0.005,1.23,0.146,58.2,50.0,-70.2,689,819,0,,,,
R,condition_1_onset,5681368.0,0.25,0.952,-0.062,8.3,1.2,-46.9,622,833,0,,,,
R,condition_1_onset,5681427.0,0.325,0.985,0.098,46.0,-16.5,-6.5,704,845,0,,,,
R,condition_1_onset,5681487.0,0.262,1.006,-0.118,-2.5,-29.6,4.9,718,854,0,,,,
R,condition_1_onset,5681547.0,0.478,0.979,-0.023,-14.0,-46.8,-36.2,663,860,0,,,,
R,condition_1_onset,5681637.0,0.226,0.932,-0.048,-2.8,-30.4,-30.1,711,861,0,,,,
R,condition_1_onset,5681698.0,0.147,0.925,-0.087,10.5,-50.8,-24.1,691,857,0,,,,
R,condition_1_onset,5681757.0,0.228,1.023,0.008,11.4,-32.2,-18.0,680,856,0,,,,
R,condition_1_onset,5681847.0,0.289,1.033,-0.108,17.9,-13.5,-65.1,598,860,0,,,,
R,condition_1_onset,5681908.0,0.26,1.204,0.106,8.8,-19.0,-79.0,408,860,0,,,,
R,condition_1_onset,5681967.0,0.23,1.197,-0.21,18.3,-59.5,-89.1,329,860,0,,,,
R,condition_1_onset,5682027.0,0.369,1.167,0.171,4.4,-71.1,-113.8,369,851,0,,,,
R,condition_1_onset,5682130.0,-0.026,1.446,-0.216,19.4,-92.9,-153.8,384,814,0,,,,
R,condition_1_onset,5682147.0,0.027,1.187,0.002,20.1,-124.1,-146.2,381,755,0,,,,
R,condition_1_onset,5682208.0,0.485,0.779,0.23,17.2,-176.4,-54.3,327,644,0,,,,
R,condition_1_onset,5682297.0,0.306,0.441,0.359,31.9,-72.3,128.1,383,587,0,,,,
R,condition_1_onset,5682401.0,0.078,1.368,0.557,11.5,-7.7,234.8,407,640,0,,,,
R,condition_1_onset,5682417.0,0.022,1.354,0.135,-5.6,-23.4,245.2,418,650,0,,,,
R,condition_1_onset,5682477.0,0.001,1.704,0.427,-23.5,-84.9,247.3,381,657,0,,,,
R,condition_1_onset,5682538.0,-0.678,1.655,-0.15,-27.2,-99.7,190.8,400,633,0,,,,
R,condition_1_onset,5682597.0,-0.666,1.599,1.182,1.1,49.2,46.7,435,654,0,,,,
R,condition_1_onset,5682658.0,0.443,1.088,-0.269,60.9,-25.5,-80.4,459,702,0,,,,
R,condition_1_onset,5682717.0,0.36,1.213,-0.018,43.4,7.9,-43.4,651,772,0,,,,
R,condition_1_onset,5682777.0,0.107,0.913,-0.121,88.0,-38.7,-43.4,639,812,0,,,,
R,condition_1_onset,5682837.0,0.423,0.851,0.038,46.6,-20.0,-31.0,705,827,0,,,,
R,condition_1_onset,5682897.0,0.413,0.961,-0.023,12.6,-21.4,-29.1,720,844,0,,,,
R,condition_1_onset,5682988.0,0.281,0.987,-0.014,-14.7,-26.7,-45.2,736,858,0,,,,
R,condition_1_onset,5683047.0,0.185,0.93,-0.119,16.2,-70.4,-33.1,703,856,0,,,,
R,condition_1_onset,5683151.0,0.216,0.996,0.01,-3.3,-33.0,-22.4,653,856,0,,,,
R,condition_1_onset,5683166.0,0.209,0.975,-0.072,-3.0,-35.2,-25.6,652,855,0,,,,
R,condition_1_onset,5683227.0,0.305,0.954,0.022,6.2,-5.3,-47.8,501,860,0,,,,
R,condition_1_onset,5683288.0,0.158,1.077,-0.099,30.1,10.4,-72.5,494,859,0,,,,
R,condition_1_onset,5683347.0,0.116,1.169,-0.018,25.5,-12.6,-93.0,417,856,0,,,,
R,condition_1_onset,5683437.0,0.259,1.305,0.024,14.0,-49.7,-116.9,356,850,0,,,,
R,condition_1_onset,5683498.0,0.472,1.39,-0.179,37.3,-66.7,-163.9,396,841,0,,,,
R,condition_1_onset,5683557.0,-0.004,1.23,-0.155,13.5,-78.7,-142.6,374,768,0,,,,
R,condition_1_onset,5683618.0,0.32,0.764,-0.116,36.9,-178.5,-45.3,407,621,0,,,,
R,condition_1_onset,5683677.0,0.376,0.228,0.266,4.0,-82.1,77.4,348,593,0,,,,
R,condition_1_onset,5683738.0,0.255,0.548,0.437,19.3,-34.6,192.2,330,615,0,,,,
