device_ms,toe_L,heel_L,toe_R,heel_R
331900,,,776.0,850.0
331960,,,775.0,850.0
332275,335.0,737.0,,
332299,333.0,734.0,,
332309,326.0,735.0,,
332319,328.0,729.0,,
332329,334.0,727.0,,
332339,329.0,729.0,,
332349,307.0,724.0,,
332359,299.0,721.0,,
332369,286.0,721.0,,
332379,277.0,721.0,,
332389,273.0,737.0,,
332399,264.0,732.0,,
332409,252.0,725.0,,
332419,243.0,725.0,,
332429,231.0,735.0,,
332439,241.0,730.0,,
332449,237.0,725.0,,
332459,254.0,730.0,,
332464,,,784.0,858.0
332469,255.0,735.0,,
332474,,,779.0,854.0
332479,250.0,728.0,,
332489,254.0,743.0,,
332499,246.0,753.0,,
332500,,,778.0,853.0
332509,312.0,734.0,,
332519,327.0,751.0,,
332529,360.0,766.0,,
332539,571.0,763.0,,
332549,665.0,779.0,,
332559,720.0,807.0,,
332560,,,779.0,852.0
332569,741.0,817.0,,
332579,770.0,835.0,,
332589,791.0,850.0,,
332599,804.0,855.0,,
332609,815.0,868.0,,
332619,821.0,874.0,,
332621,,,780.0,855.0
332629,833.0,884.0,,
332639,831.0,883.0,,
332649,835.0,884.0,,
332659,837.0,884.0,,
332669,838.0,887.0,,
332679,842.0,889.0,,
332680,,,779.0,853.0
332689,829.0,876.0,,
332699,844.0,890.0,,
332709,846.0,894.0,,
332719,824.0,869.0,,
332729,848.0,896.0,,
332739,847.0,896.0,,
332740,,,777.0,852.0
332749,849.0,896.0,,
332800,,,769.0,841.0
332860,,,775.0,847.0
332920,,,776.0,849.0
332987,859.0,903.0,,
332997,857.0,901.0,,
333007,857.0,901.0,,
333010,,,778.0,850.0
333017,856.0,904.0,,
333027,860.0,904.0,,
333037,860.0,904.0,,
333047,858.0,903.0,,
333057,860.0,905.0,,
333067,860.0,905.0,,
333070,,,777.0,852.0
333077,859.0,907.0,,
333087,859.0,905.0,,
333097,861.0,907.0,,
333107,860.0,906.0,,
333117,856.0,906.0,,
333127,855.0,906.0,,
333130,,,777.0,851.0
333137,857.0,908.0,,
333147,854.0,906.0,,
333157,852.0,905.0,,
333167,845.0,908.0,,
333177,838.0,904.0,,
333187,823.0,904.0,,
333197,806.0,906.0,,
333207,799.0,906.0,,
333217,787.0,906.0,,
333220,,,778.0,849.0
333227,777.0,905.0,,
333237,765.0,906.0,,
333247,754.0,904.0,,
333257,732.0,905.0,,
333267,696.0,904.0,,
333277,634.0,907.0,,
333280,,,779.0,852.0
333287,559.0,905.0,,
333297,464.0,906.0,,
333307,360.0,908.0,,
333317,321.0,904.0,,
333327,308.0,899.0,,
333337,307.0,894.0,,
333340,,,779.0,851.0
333347,328.0,892.0,,
333357,347.0,892.0,,
333367,343.0,880.0,,
333377,312.0,859.0,,
333387,291.0,818.0,,
333397,229.0,757.0,,
333400,,,779.0,852.0
333407,279.0,741.0,,
333417,317.0,759.0,,
333427,292.0,750.0,,
333437,299.0,745.0,,
333460,,,782.0,853.0
333520,,,778.0,850.0
333581,,,772.0,842.0
333640,,,772.0,843.0
333677,286.0,721.0,,
333687,265.0,717.0,,
333697,244.0,715.0,,
333701,,,770.0,842.0
333743,235.0,727.0,,
333802,359.0,763.0,,
333803,,,775.0,845.0
333820,,,776.0,848.0
333863,772.0,834.0,,
333880,,,776.0,847.0
333940,,,774.0,846.0
333953,845.0,891.0,,
334000,,,739.0,810.0
334012,850.0,897.0,,
334060,,,757.0,829.0
334073,854.0,900.0,,
334121,,,761.0,832.0
334132,853.0,901.0,,
334180,,,765.0,835.0
334193,854.0,900.0,,
334241,,,767.0,837.0
334252,858.0,904.0,,
334300,,,768.0,839.0
334313,859.0,905.0,,
334360,,,767.0,836.0
334373,858.0,906.0,,
334420,,,767.0,838.0
334462,823.0,903.0,,
334480,,,769.0,839.0
334523,768.0,904.0,,
334541,,,772.0,841.0
334583,380.0,901.0,,
334600,,,774.0,845.0
334643,349.0,856.0,,
334661,,,775.0,846.0
334703,313.0,775.0,,
334720,,,778.0,848.0
334762,342.0,746.0,,
334810,,,778.0,848.0
334822,362.0,745.0,,
334871,,,778.0,845.0
334882,339.0,734.0,,
334930,,,776.0,848.0
334943,279.0,720.0,,
334991,,,776.0,848.0
335002,215.0,731.0,,
335050,,,775.0,845.0
335063,615.0,773.0,,
335110,,,775.0,845.0
335123,803.0,856.0,,
335170,,,777.0,847.0
335182,836.0,885.0,,
335243,848.0,894.0,,
335302,854.0,899.0,,
335363,855.0,901.0,,
335422,857.0,901.0,,
335526,857.0,905.0,,
335573,859.0,904.0,,
335632,860.0,905.0,,
335693,855.0,905.0,,
335783,788.0,905.0,,
335842,518.0,910.0,,
335903,426.0,889.0,,
335915,,,783.0,852.0
335925,,,781.0,851.0
335951,,,782.0,852.0
335962,228.0,742.0,,
336010,,,785.0,859.0
336023,292.0,745.0,,
336070,,,790.0,860.0
336083,368.0,743.0,,
336143,373.0,740.0,,
336161,,,791.0,861.0
336203,322.0,727.0,,
336250,,,792.0,862.0
336306,253.0,740.0,,
336323,295.0,750.0,,
336340,,,789.0,859.0
336382,726.0,810.0,,
336400,,,787.0,860.0
336460,,,788.0,859.0
336520,,,789.0,860.0
336581,,,788.0,859.0
336640,,,789.0,859.0
336701,,,789.0,859.0
336760,,,789.0,861.0
336821,,,789.0,859.0
336880,,,793.0,863.0
336940,,,793.0,864.0
337043,,,793.0,866.0
337060,,,795.0,867.0
337097,676.0,909.0,,
337107,610.0,907.0,,
337121,,,798.0,869.0
337132,460.0,908.0,,
337180,,,796.0,867.0
337193,403.0,888.0,,
337241,,,796.0,864.0
337252,204.0,757.0,,
337300,,,796.0,869.0
337313,282.0,761.0,,
337373,338.0,741.0,,
337390,,,796.0,870.0
337433,348.0,735.0,,
337451,,,796.0,868.0
337493,248.0,717.0,,
337510,,,796.0,868.0
337552,234.0,738.0,,
337600,,,795.0,866.0
337613,317.0,770.0,,
337661,,,796.0,866.0
337672,779.0,841.0,,
337720,,,795.0,868.0
337733,836.0,887.0,,
337781,,,795.0,868.0
337792,852.0,898.0,,
337840,,,794.0,868.0
337853,856.0,902.0,,
337900,,,796.0,869.0
337943,858.0,904.0,,
337960,,,799.0,870.0
338002,856.0,906.0,,
338020,,,798.0,869.0
338081,,,799.0,869.0
338092,854.0,908.0,,
338170,,,801.0,872.0
338183,831.0,907.0,,
338230,,,799.0,871.0
338243,746.0,907.0,,
338291,,,800.0,871.0
338302,615.0,906.0,,
338350,,,799.0,869.0
338363,380.0,907.0,,
338411,,,799.0,870.0
338422,418.0,880.0,,
338470,,,800.0,870.0
338483,215.0,774.0,,
338531,,,799.0,871.0
338542,304.0,755.0,,
338590,,,802.0,872.0
338603,327.0,743.0,,
338650,,,799.0,871.0
338663,339.0,740.0,,
338710,,,802.0,872.0
338723,254.0,729.0,,
338783,237.0,742.0,,
338842,297.0,753.0,,
338903,737.0,818.0,,
338993,837.0,886.0,,
339083,854.0,901.0,,
339143,857.0,904.0,,
339215,,,804.0,875.0
339225,,,800.0,870.0
339233,860.0,907.0,,
339250,,,802.0,871.0
339310,,,800.0,871.0
339323,856.0,905.0,,
339401,,,802.0,871.0
339426,853.0,906.0,,
339460,,,801.0,873.0
339473,839.0,906.0,,
339520,,,802.0,871.0
339563,756.0,905.0,,
339581,,,800.0,871.0
339640,,,803.0,872.0
339653,345.0,904.0,,
339712,372.0,862.0,,
339730,,,801.0,871.0
339773,283.0,755.0,,
339791,,,801.0,872.0
339833,417.0,744.0,,
339850,,,802.0,872.0
339893,436.0,739.0,,
339911,,,802.0,872.0
339953,412.0,751.0,,
339970,,,801.0,871.0
340013,354.0,739.0,,
340031,,,802.0,873.0
340090,,,803.0,876.0
340151,,,802.0,871.0
340210,,,802.0,871.0
340270,,,801.0,873.0
340331,,,802.0,873.0
340390,,,803.0,872.0
340451,,,802.0,874.0
340510,,,802.0,872.0
340517,862.0,905.0,,
340527,857.0,902.0,,
340571,,,803.0,874.0
340583,857.0,901.0,,
340630,,,804.0,873.0
340672,857.0,902.0,,
340720,,,796.0,865.0
340733,857.0,903.0,,
340781,,,808.0,881.0
340835,857.0,907.0,,
340840,,,806.0,879.0
340853,855.0,906.0,,
340901,,,795.0,866.0
340913,772.0,905.0,,
340960,,,778.0,846.0
340973,487.0,902.0,,
341020,,,789.0,857.0
341033,266.0,870.0,,
341081,,,783.0,853.0
341093,455.0,772.0,,
341140,,,766.0,833.0
341153,536.0,756.0,,
341201,,,783.0,855.0
341212,470.0,765.0,,
341260,,,793.0,864.0
341273,391.0,755.0,,
341321,,,808.0,883.0
341333,341.0,735.0,,
341380,,,797.0,866.0
341393,253.0,722.0,,
341441,,,793.0,861.0
341453,591.0,771.0,,
